Country,Year,Code,Annual_CO2_Emissions_Per_Capita,Renewable_Energy_Percentage,GDP_Per_Capita,Energy_Consumption_Per_Capita,Population
Algeria,2010,DZA,3.2704937,0.11513415,14496.421,12243.156,36188236.0
Algeria,2011,DZA,3.389791,0.23525994,14641.964,12710.541,36903376.0
Algeria,2012,DZA,3.603938,0.22453195,14697.54,13624.909,37646166.0
Algeria,2013,DZA,3.664963,0.06476319,14778.191,14130.735,38414171.0
Algeria,2014,DZA,3.8587632,0.11750259,15073.763,15108.635,39205031.0
Algeria,2015,DZA,4.000239,0.09681336,15239.518,15616.312,40019529.0
Algeria,2016,DZA,3.8795354,0.14580713,15511.686,15295.143,40850721.0
Algeria,2017,DZA,3.9620245,0.24701828,15427.664,15164.0,41689299.0
Algeria,2018,DZA,4.0631776,0.28842947,15343.426,15971.084,42505035.0
Algeria,2019,DZA,4.1554136,0.29497427,15199.199,16259.053,43294546.0
Algeria,2020,DZA,3.8185754,0.30043116,14194.155,14933.807,44042091.0
Algeria,2021,DZA,4.012335,0.25285673,14496.865,16017.653,44761099.0
Algeria,2022,DZA,4.058243,0.24182516,14782.2,16350.52,45477389.0
Algeria,2023,DZA,3.8586802,0.27036947,15159.324,15458.39,46164219.0
Argentina,2010,ARG,4.5035615,11.650168,28056.258,21507.703,41288694.0
Argentina,2011,ARG,4.5476246,10.914268,29425.76,21894.867,41730660.0
Argentina,2012,ARG,4.53876,10.176803,28825.967,22494.715,42161721.0
Argentina,2013,ARG,4.451081,10.940409,29227.66,23152.588,42582455.0
Argentina,2014,ARG,4.3788686,11.038969,28200.814,22881.006,43024071.0
Argentina,2015,ARG,4.41024,10.89336,28669.207,23046.873,43477012.0
Argentina,2016,ARG,4.32618,10.17179,27802.105,22726.455,43900313.0
Argentina,2017,ARG,4.219999,10.979133,28334.904,22503.818,44288894.0
Argentina,2018,ARG,4.0443406,11.331651,27367.115,22163.16,44654882.0
Argentina,2019,ARG,3.969191,11.911147,26629.553,20725.168,44973465.0
Argentina,2020,ARG,3.65377,12.310073,23877.094,19314.059,45191965.0
Argentina,2021,ARG,4.217578,11.335143,26300.273,21168.963,45312281.0
Argentina,2022,ARG,4.4943905,12.188763,27627.963,22618.625,45407904.0
Argentina,2023,ARG,4.2998033,14.102216,27104.98,22277.793,45538401.0
Australia,2010,AUS,18.297338,4.312805,51811.78,68523.875,22031750.0
Australia,2011,AUS,17.965439,5.688442,52326.766,69714.19,22340024.0
Australia,2012,AUS,17.77464,5.688193,53435.18,67583.03,22733465.0
Australia,2013,AUS,17.17437,6.5121694,53890.105,67307.04,23128129.0
Australia,2014,AUS,16.644192,5.9665823,54470.16,66744.195,23475686.0
Australia,2015,AUS,16.76538,6.2833033,54867.773,67223.11,23815995.0
Australia,2016,AUS,16.867634,7.1866975,55507.977,66396.19,24190907.0
Australia,2017,AUS,16.732754,6.744328,55846.03,65133.145,24592588.0
Australia,2018,AUS,16.544464,8.280843,56600.438,65053.54,24963258.0
Australia,2019,AUS,16.315792,8.875714,56981.395,66247.3,25334826.0
Australia,2020,AUS,15.506062,10.848229,56215.58,61750.023,25649248.0
Australia,2021,AUS,14.987446,12.923943,57321.562,61304.32,25685412.0
Australia,2022,AUS,14.66979,13.918374,58997.703,63452.266,26014399.0
Australia,2023,AUS,14.478505,14.982515,59552.88,63256.88,26658948.0
Austria,2010,AUT,8.608234,31.314478,60380.14,50408.58,8363404.0
Austria,2011,AUT,8.328318,30.305704,61938.617,47176.66,8391643.0
Austria,2012,AUT,7.9788947,35.76177,62044.215,49160.137,8429991.0
Austria,2013,AUT,7.990079,35.3089,61524.96,48452.184,8479823.0
Austria,2014,AUT,7.5067415,36.303062,61507.38,46207.137,8546356.0
Austria,2015,AUT,7.6767244,34.274372,61614.56,45864.832,8642699.0
Austria,2016,AUT,7.6926365,35.3048,62242.336,46889.66,8736668.0
Austria,2017,AUT,7.910056,34.455837,63216.0,47464.48,8797566.0
Austria,2018,AUT,7.528234,34.361984,64471.633,46196.625,8840521.0
Austria,2019,AUT,7.650861,35.472965,65312.023,48194.07,8879920.0
Austria,2020,AUT,6.9693084,38.188835,60931.94,44920.742,8916864.0
Austria,2021,AUT,7.333269,35.835052,63576.242,45508.77,8955797.0
Austria,2022,AUT,6.783409,36.06654,66294.72,42481.58,9041851.0
Austria,2023,AUT,6.415725,40.080193,65015.133,42952.613,9131761.0
Azerbaijan,2010,AZE,3.0118763,7.448546,19621.385,13904.573,9054332.0
Azerbaijan,2011,AZE,3.263773,5.0649414,19386.744,15572.064,9173082.0
Azerbaijan,2012,AZE,3.4954014,3.326695,19545.072,15823.058,9295784.0
Azerbaijan,2013,AZE,3.5305033,2.7732372,20414.832,16039.534,9416801.0
Azerbaijan,2014,AZE,3.566412,2.4248233,20716.14,16140.756,9535079.0
Azerbaijan,2015,AZE,3.5561998,2.7496912,20694.78,17420.43,9649341.0
Azerbaijan,2016,AZE,3.519045,3.3369164,19830.322,17059.744,9757812.0
